size,stones,score_komi,score_neural,winrate_komi
9,BA4 BE6,11.0,11.4053585,0.493585716
9,BA4 BE7,10.0,10.6027326,0.461618444
9,BA4 BE8,8.0,9.09026242,0.549982464
9,BA4 BE9,3.5,3.68836339,0.475117646
9,BA4 BF2,8.0,8.62083832,0.460855092
9,BA4 BF3,10.0,10.3369244,0.486966129
9,BA4 BF4,10.5,11.1143576,0.502208286
9,BA4 BF5,11.0,11.4894722,0.521429151
9,BA4 BF6,10.5,11.3494684,0.5361391
9,BA4 BF7,10.0,10.5106457,0.532127104
9,BA4 BF8,8.0,8.80732794,0.446462518
9,BA4 BF9,3.0,3.35396404,0.546993129
9,BA4 BG2,7.0,7.53166154,0.451584965
9,BA4 BG3,9.0,9.62103127,0.486024404
9,BA4 BG4,10.5,10.6610888,0.44377468
9,BA4 BG5,10.0,11.112528,0.540977359
9,BA4 BG6,10.5,10.9276316,0.526161011
9,BA4 BG7,9.0,9.7114478,0.53045873
9,BA4 BG8,7.0,7.63133051,0.474930375
9,BA4 BH2,5.0,5.51100164,0.493090029
9,BA4 BH3,7.0,7.4883844,0.48278072
9,BA4 BH4,8.5,8.991737,0.451275342
9,BA4 BH5,8.5,9.60123348,0.515675255
9,BA4 BH6,8.5,9.13225546,0.517235178
9,BA4 BH7,7.5,8.03621212,0.476790621
9,BA4 BH8,5.0,5.86592737,0.545689283
9,BA4 BJ4,3.5,3.7499808,0.51257246
9,BA4 BJ5,4.0,4.13117487,0.47875143
9,BA4 BJ6,4.0,3.89523214,0.455788923
9,BA4 WA1,12.0,11.6228329,0.492842882
9,BA4 WA2,7.5,7.39340725,0.448218245
9,BA4 WA3,6.5,6.56655712,0.549391193
9,BA4 WA5,6.5,6.23635646,0.46185871
9,BA4 WA6,6.5,6.37378984,0.45715088
9,BA4 WA7,7.0,7.06723303,0.501363838
9,BA4 WA8,7.5,7.39253941,0.464863857
